Titulo,Check,IMDBid,Nota,Votos,Elenco,Gênero,Duração,Reviews,Ano,Data de estréia,Roteiristas,Censura,País,Idiomas,Episodios
Haters Back Off!,tv series,5467814,6.0,7078.0,"Colleen Ballinger, Angela Kinsey, Francesca Reale, Erik Stocklin, Steve Little, Kara Hayward, Matt Besser, Chaz Lamar Shepherd, Lindsay Navarro, Dylan Playfair, Simon Longmore, Mel Tuck, Harvey Guillén, Dean Paul Gibson, Rachelle Gillis, Patti Allan, Havana Guppy, Dan Joffre, David Milchard, Ben Stiller, Joey Graceffa, Zoey Siewert, John Early, Michael P. Northey, Sangeeta Wylie, Frankie Grande, Denise Jones, Gigi Jackman, Paige Bateman, Barbara Wallace, Fulvio Cecere, Kelli Ogmundson, Kathryn Kirkpatrick, Jeff Evans-Todd, C. Ernst Harth, Kate Robbins, Keith Dallas, Graeme Duffy, Conor Gomez, Sewit Haile, Avery Kertes, Trevor Carroll, Christian Lagasse, Connor Christopher Levins, Christopher Convery, Ben Wilkinson, Jackie Blackmore, Michael Bean, Jasmine Lukuku, Reilly Jacob","Comedy, Drama, Family, Romance",30,25.0,2016.0,2016-10-14,"Christopher Ballinger, Christopher Ballinger, Christopher Ballinger","Australia:PG, France:Tous Public, Germany:6::(self-applied), Italy:T::(self-applied), Japan:G, Netherlands:9, Norway:7::(Netflix self-rating), Singapore:PG13, South Korea:12::(season 1), South Korea:15::(season 2), United Kingdom:15::(episode 4), United Kingdom:PG::(episode 8), United Kingdom:12::(most episodes), United States:TV-14",United States,English,8.0
When They See Us,tv mini series,7137906,8.9,106741.0,"Asante Blackk, Caleel Harris, Ethan Herisse, Marquis Rodriguez, Marsha Stephanie Blake, Kylie Bunbury, John Leguizamo, Niecy Nash, Suzzanne Douglas, Michael Kenneth Williams, Jharrel Jerome, Aunjanue Ellis, Felicity Huffman, Len Cariou, William Sadler, Adepero Oduye, Alexandra Templer, Denia Brache, Vera Farmiga, Omar J. Dorsey, Jovan Adepo, Chris Chalk, Justin Cunningham, Freddy Miyares, Famke Janssen, Chukwudi Iwuji, Storm Reid, Alex Breaux, Jayce Bartok, Frank Pando, Edward Carnevale, Tyler Dean Flores, Elijah Richardson, Maliq Johnson, Isaiah Negrón, Kate Easton, Todd Lawson, Caroline Hewitt, Chris Jackson, Joshua Jackson, Gary Perez, Aurora Perrineau, Blair Underwood, Dascha Polanco, Jimmy Gary Jr., Henry Hunter Hall, Vincent De Paul, Logan Marshall-Green, Bruce MacVittie, Irma-Estel LaGuerre","Biography, Crime, Drama, History",296,25.0,2019.0,2019-05-31,"Ava DuVernay, Ava DuVernay, Ava DuVernay","Argentina:16, Brazil:16, Netherlands:16, Singapore:R21, South Korea:18, Spain:16, United Kingdom:15, United States:TV-MA",United States,English,4.0
Sweet Home,tv series,11612120,7.4,15091.0,"Song Kang, Lee Jin-Wook, Lee Si-young, Lee Do-Hyun, Go Min-Si, Park Gyuyoung, Kim Guk-Hee, Woo Jung-Kook, Su-Hyung Im, Lee Joon-Woo, Kim Hee-Jung, Stephanie Komure, Paul Nakauchi, Victoria Grace, Ping Wu, Keong Sim, Matthew Yang King, Nicole Fong, George Tsai, Chase Yi, Ivan Mok, Jenny Yokobori, Harrison Xu, Darren Keilan, Tohoru Masamune, Page Leong, Jeannie Bolet, Michelle Mao, Remington Hoffman, Ji-young Yoo, Kristina Ho, Arnold Chun, Bobo Chang, Feodor Chin, Margaret Hsian, Brandon Win, Yuzu Harada, Reuben Uy, Michael Shen, Milia Mae, Carter Chee, Kotaro Watanabe, Lance Kim, Kim Nam-Hee, Kim Sang-Ho, Jeong Ha-dam, Yool Heo, Go Choi, Kim Hyeon-Ok, Go Yoon-Jung","Drama, Fantasy, Horror, Thriller",52,25.0,2020.0,2020-12-18,"Kim Hyung-min, Kim Kan-bi, Park So-Jeong","Argentina:16, Australia:MA15+, Brazil:16::(self-applied), Canada:TV-MA::(self-applied), France:16, Germany:16::(self-applied), India:18::(self-applied), Indonesia:18+::(self-applied), Italy:VM14::(self-applied), Japan:R15+::(self-applied), Mexico:TV-MA::(self-applied), Norway:16::(Netflix self-rating), Philippines:18+::(self-applied), Poland:16::(self-applied), Singapore:M18, South Korea:18, Spain:16, Sweden:16+::(self-applied), Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA::(self-applied), United Arab Emirates:18+::(self-applied), Vietnam:C18",South Korea,Korean,10.0
Wild District,tv series,8105958,8.2,1813.0,"Cristina Umaña, Juan Pablo Raba, Nicolás Quiroga Pineda, Paula Castaño, Hans Martínez, Juan Fernando Sánchez, Camila Sodi, Christian Tappan, Camila Jurado, Carolina Acevedo, Andres Toro, Alina Lozano, Rodrigo Celis, Susana Torres, Juan Sebastián Calero, Julio Pachón, Estefania Piñeres, Juan Pablo Urrego, Camilo Jimenez Varon, Nina Caicedo, Sebastian Eslava, Victor Hugo Morant, Jennifer Hyde, Walter Díaz, Alejandro Buitrago, Andres Londono, Daniel Toro, Adriano Marquez, Felipe Giraldo, Mario Bolaños, Claudia Cano, Ed Hughes, Albi De Abreu, Roberto Cano, Helena Mallarino, German De Greiff, Luz Stella Luengas, Ivonne Gómez, Tatiana Astengo, Juan José Trujillo Zea, Wilderman García, Carlos Duplat, Camila Jiménez, Rami Herrera, Krystal Restrepo, Andrés Felipe Calero, Johan Sebastián Hurtado, Sindy Torres, Arcenio Valderrama, Cristian Villamil","Action, Crime, Drama, Thriller",45,25.0,2018.0,2018-10-19,"Cristian Conti, Cristian Conti, Mauricio Leiva-Cock","Spain:16, United States:TV-MA",Colombia,Spanish,10.0
Everything Sucks!,tv series,7078710,7.5,16920.0,"Jahi Di'Allo Winston, Peyton Kennedy, Patch Darragh, Claudine Mboligikpelani Nako, Quinn Liebling, Elijah Stevenson, Rio Mangini, Sydney Sweeney, Abi Brittle, Nicole McCullough, Zachary Ray Sherman, Connor Muhl, Jalon Howard, Ben York Jones, Katie O'Grady, Sunday Manisto-Saari, Jen Taylor, Kiah Butts, Andy Sims, Sarah Winsor, Christopher Morson, Morgan Demetre, Luke Schuck, Audrey Boos, Jonah Kellams, Anjini Taneja Azhar, Max Huskins, Grace Brunson, Calvin Pearson, Carter Jon, Megan Yacapin, P.E. Ingraham, Tamara Szalewski, Makenna Markman, Jordan Kelley, Alaina Wilson, Shann Ihde, Kevin Michael Watson, Teddy Van Ee, Kasey Brown, Emir García, Peter James DeLuca, Jeb Berrier, Cora Cleary, Colton Baumgartner, Lien Mya Nguyen Oost, Devon Rawlings, Dylan Hall, Evan Brown, Demetre Janness","Comedy, Drama",30,25.0,2018.0,2018-01-31,"Ben York Jones, Ben York Jones, Michael Mohan","Australia:M, Brazil:12, France:13::(self-applied), Germany:12, India:18::(self-applied), Italy:VM14, Netherlands:16, Norway:12::(Netflix self-rating), Philippines:18+::(self-applied), Singapore:M18, South Korea:15, Spain:13, Sweden:13::(self-applied), Turkey:18+::(self-applied), United Kingdom:15, United States:TV-14, United States:TV-MA",United States,English,10.0
Suburra: Blood on Rome,tv series,7197684,7.9,13413.0,"Alessandro Borghi, Giacomo Ferrara, Filippo Nigro, Carlotta Antonelli, Paola Sotgiu, Francesco Acquaroli, Alessandro Bernardini, Claudia Gerini, Mirella Sarachelli, Eduardo Valdarnini, Adamo Dionisi, Rosa Diletta Rossi, Emmanuele Aita, Federica Sabatini, Alessandro Proietti, Barbara Chichiarelli, Alberto Cracco, Rocco Narva, Lucia Mascino, Stefano Fabrizi, Alessio De Persio, Elisabetta De Palo, Lorena Cesarini, Jacopo Venturiero, Daniele Amendola, Renato Marchetti, Antonio Bannò, Stefano Santospago, Fiorenza Tessari, Cristina Pelliccia, Augusto Zucchi, Mario Sgueglia, Gerasimos Skiadaressis, Marzia Ubaldi, Federico Tocci, Pietro Ragusa, Alessandro Rossi, Claudio Vanni, Diego Ribon, Sofia Ciraolo, Maurizio Bianucci, Filippo Franzé, Andrea Cavatorta, Aleph Viola, Margherita Del Nero, Alessandra Roca, Carla Carfagna, Davide Argenti, Michael Moses Odi, Giovanni Federico","Action, Crime",50,25.0,2017.0,2017-09-02,"Ezio Abbate, Ezio Abbate, Ezio Abbate","Australia:MA15+, Brazil:18::(self-applied), Canada:TV-MA::(self-applied), France:16::(self-applied), Germany:16, India:18::(self-applied), Italy:VM14, Japan:R15+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:16, Poland:16::(self-applied), Singapore:R21, South Korea:18, Spain:16::(self-applied), Sweden:16+::(self-applied), Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA",Italy,Italian,10.0
The Haunting of Bly Manor,tv mini series,10970552,7.4,87105.0,"Victoria Pedretti, Oliver Jackson-Cohen, Amelia Eve, T'Nia Miller, Rahul Kohli, Tahirah Sharif, Amelie Bea Smith, Henry Thomas, Carla Gugino, Benjamin Evan Ainsworth, Calix Fraser, Alex Essoe, Roby Attal, Liza Cosier, Kate Siegel, Matthew Holness, Katie Parker, Pasha Ebrahimi, Kamal Khan, Greg Sestero, Zoë Noelle Baker, Christie Burke, Duncan Fraser, Stefania Indelicato, Jill Morrison, Thomas Nicholson, Roz Murray, Jim Piddock, Lizzy McInnerny, Alisha-Marie Ahamed, Ken Kramer, Martin McCreadie, Arlo Hajdu, Elizabeth Allhands, Alice Comer, Lynda Boyd, John Prowse, Fareed Abdelhak, Kasen Kelly, Tim Beckmann, Natasha Quirke, Daxton Gujral, Rasik Rana, Michael Charrois, Makalo Roskams, Teryl Rothery, Rhys Slack, Susan Saint James, Dakota Guppy, Andrew Kavadas","Drama, Horror, Mystery, Thriller",494,25.0,2020.0,2020-10-09,"Mike Flanagan, Mike Flanagan, Henry James","Argentina:16, Australia:MA15+, Brazil:16::(self-applied), Canada:TV-MA::(self-applied), France:16::(self-applied), Germany:16::(self-applied), India:16::(self-applied), Italy:VM14::(self applied), Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:16, Norway:16::(Netflix self-rating), Singapore:R21, South Korea:15, Spain:16, United Kingdom:15, United States:TV-MA::(self-applied), Vietnam:C16",United States,English,9.0
Love,tv series,4061080,7.6,39891.0,"Gillian Jacobs, Paul Rust, Claudia O'Doherty, Mike Mitchell, Chris Witaske, Jordan Rock, Iris Apatow, Brett Gelman, Bobby Lee, Tracie Thoms, Mike Hanford, Dave King, Alexandra Rushfield, Armen Weitzman, Kerri Kenney, Seth Morris, Kirby Howell-Baptiste, Dave Allen, Steve Bannos, Paula Pell, Michael Daniel Cassady, Chantal Claret, Briga Heelan, Rich Sommer, Mark Oliver Everett, David Spade, Jessie Ennis, Saxon Sharbino, Dawn Forrester, Hannah Kasulka, Neil Campbell, Jay Johnston, Charlyne Yi, Mädchen Amick, Horatio Sanz, Jasmin Savoy Brown, Eddie Pepitone, Esther Povitsky, Kulap Vilaysack, Tim Kalpakis, Liz Femi, Jason Dill, Takato Yonemoto, Blanca Pineda, Kathy Baker, Andy Dick, Ed Begley Jr., Randall Park, Stephanie Allynne, Milana Vayntrub","Comedy, Drama, Romance",50,25.0,2016.0,2016-02-19,"Judd Apatow, Judd Apatow, Lesley Arfin","Argentina:16, Australia:MA15+, Brazil:18::(self-applied), Canada:TV-MA::(self-applied), France:13::(self-applied), Germany:12, India:18+::(self-applied), Indonesia:18+::(self-applied), Italy:VM14, Mexico:TV-MA::(self-applied), Netherlands:16::(season 1), Netherlands:12::(season 2), Netherlands:9::(season 3), New Zealand:R16, Norway:12::(Netflix self-rating), Philippines:18+::(self-applied), Russia:18+, Singapore:R21, South Korea:18, Spain:13::(Netflix), Sweden:13::(self-applied), Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA",United States,English,10.0
American Vandal,tv series,6877772,8.2,28882.0,"Tyler Alvarez, Griffin Gluck, Jimmy Tatro, Travis Tope, Melvin Gregg, Lou Wilson, Taylor Dearden, Jessica Juarez, Joe Farrell, Camille Hyde, Camille Ramsey, DeRon Horton, Genevieve Hannelius, Karly Rothenberg, Calum Worthy, Ryan O'Flanagan, Dendrie Taylor, Larry Joe Campbell, Eduardo Franco, Sarah Burns, Bellina Logan, Adam Ray, Jay Lee, Sean Carrigan, Barbara Deering, Matt Miller, Bryce Earhart, Miles J. Harvey, Lukas Gage, Tirza Meuljic, Cynthy Wu, Myles Brewer, Xaria Dotson, Tyler McClendon, Aaron Kee, Olivia Norman, Max Huskins, Elisha Henig, Jeremy Culhane, Susan Ruttan, Tim True, Jeanine Jackson, Cody Wai-Ho Lee, Christian Blair, Carla Jeffery, Luke Spencer Wyngarden, Phelan Davis, Kiah Butts, Jessica Lynn Skinner, Jackson Leier","Comedy, Crime, Drama, Mystery",34,25.0,2017.0,2017-09-05,"Dan Perrault, Dan Perrault, Tony Yacenda","Australia:MA15+::(Netflix self-rating), Brazil:16, Canada:TV-MA::(self-applied), France:16, Germany:16::(internet), India:18::(self-applied), Italy:VM14, Mexico:TV-MA::(self-applied), Netherlands:12, Philippines:18+::(self-applied), Singapore:R21, South Korea:18, Spain:16, Turkey:18+::(self-applied), United Kingdom:15, United States:TV-MA",United States,English,8.0
Selena: The Series,tv series,9421868,6.9,4168.0,"Christian Serratos, Gabriel Chavarria, Ricardo Chavira, Noemi Gonzalez, Seidy Lopez, Hunter Reese Peña, Carlos Alfredo Jr., Jesse Posey, Julio Macias, Rico Aragon, Madison Taylor Baez, Natasha Perez, Gladys Bautista, Christian Escobar, Daniela Estrada, Paul Rodriguez, Luis Bordonada, Juan Martinez, Danae Shinohara, Josselyne Gallardo, Tyrell Washington, Rolando J. Vargas, Bryan Arion, Marcela Guirado, Elena Castillo, Xander Gambini, Panos Vlahos, Jennifer Henkel, Laura Gil, Oscar Quiñonez, Fernando Castro, Rodrigo Basurto, Aldo Quintero Torres, Junn Takeda, Efrangeliz Medina, Isabella Oliveira, Seth Marshall, David Barrera, Oscar Avila, Catia Ojeda, Michael Antosy, Joe Lorenzo, Anakaren Xiomara De Real, Larry Dean, J.J. Dunlap, Sebestien Soliz, Renee Venencie, Aquiles Medellin, Priscila Arvizu, Alejandra Deras","Biography, Drama, Music",40,25.0,2020.0,2020-12-04,"Pamela Garcia Rooney, Pamela Garcia Rooney, Jessica Lopez","Argentina:13, Australia:PG, Brazil:12::(self-applied), Canada:TV-PG::(self-applied), France:12, Germany:12, India:13::(self-applied), Italy:T::(self-applied), Japan:G::(self-applied), Mexico:A::(self-applied), Netherlands:9, Singapore:PG13, South Korea:12, Spain:12, Sweden:13::(self-applied), United Kingdom:PG, United States:TV-PG::(self-applied)","Mexico, United States",English,9.0
The Victims' Game,tv series,12079212,7.4,1195.0,"Wei-Ning Hsu, Hsiao-chuan Chang, Shih-Sian Wang, Tsai-Hsing Chang, Nien-Hsien Ma, Hao-Zhe Lai, Moon Lee, River Huang, Honduras, Diane Lin, Wei-min Chen, Ruby Lin, Jen-Shuo Cheng, Ching-Ting Hsia, Chia-Kuei Chen, Chia-Wei Chu, Eddie Chen, Ning Ding, Helena Hsu, Chiung-Tzu Chang, Chin Chi, Nini Weng, Tai-chi Fan-Chiang, Yin-Shang Liu, Lei Ko, Yen-chuang Chen, Jou-Min Huang, Shao-Wen Yang, Chi-Lung Pai, Jade Chen, Fan-Rou Chen, Jing-Hua Tseng, Han Chang, Chiung-Hsuan Hsieh, Vera Chen, Chao-te Yin, Hao-Hsiang Hsu, Alice Tsai-yi Huang, Yi-Chun Tung, Hung-Jen Lo, Marian Chung, En Ko, Kuo-Feng Huang, Xavier Lin, Iris Hu, Mecco Chang, Ya-Huang Li, Jui-Tzu Liu, Chia-En Yang, Daniel Chen","Crime, Drama, Thriller",NA,22.0,2020.0,2020-04-30,"Shih-Keng Chien, Jui-Liang Hsu, Yu-Chia Huang","Australia:MA15+, Brazil:16::(self-applied), Germany:16::(self-applied), India:18::(self-applied), Philippines:18+::(self-applied), Singapore:NC16, South Korea:18, Spain:16, United Kingdom:18, Vietnam:C18",Taiwan,"Mandarin, Min Nan",8.0
Sex Education,tv series,7767422,8.3,228286.0,"Asa Butterfield, Gillian Anderson, Emma Mackey, Ncuti Gatwa, Connor Swindells, Kedar Williams-Stirling, Aimee Lou Wood, Alistair Petrie, Tanya Reynolds, Patricia Allison, Mikael Persbrandt, Jim Howick, Mimi Keene, Chris Jenks, Chaneil Kular, Rakhee Thakrar, Samantha Spiro, Sami Outalbali, Chinenye Ezeudu, Simone Ashley, George Robinson, Anne-Marie Duff, Hannah Waddingham, George Somner, Lisa Palfrey, Doreene Blackstock, Jemima Kirke, Dua Saleh, Sharon Duncan-Brewster, Joe Wilkinson, Jojo Macari, Conor Clarke-McGrath, Deobia Oparei, Lino Facioli, Judith Cabral, James Purefoy, Indra Ové, Armin Karima, Jack Helsby, Robyn Holdaway, Jason Isaacs, Lily Newmark, Dan Renton Skinner, Daniel Ings, Edward Bluemel, Mirren Mack, George Georgiou, Tom Atkinson, Suzanne Bertish, Colin Murtagh","Comedy, Drama",45,25.0,2019.0,2019-01-11,"Laurie Nunn, Laurie Nunn, Sophie Goodhart","Argentina:16, Australia:MA15+::(self-applied), Brazil:16::(self-applied), Canada:TV-MA::(self-applied), France:16, Germany:16::(self-applied), India:A, Indonesia:18+::(self-applied), Italy:VM14, Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Netherlands:16::(season 3), Netherlands:12::(seasons 1 and 2), New Zealand:R16::(self-applied), Norway:16::(self-applied), Philippines:18+::(self-applied), Poland:16, Portugal:16, Singapore:R21, South Korea:18, Spain:16, Sweden:16+, Turkey:18+, United Kingdom:18, United States:TV-MA, United Arab Emirates:18+::(self-applied), Vietnam:C18",United Kingdom,English,8.0
The English Game,tv mini series,8403664,7.6,13464.0,"Edward Holcroft, Kevin Guthrie, Charlotte Hope, Niamh Walsh, Craig Parkinson, James Harkness, Ben Batt, Gerard Kearns, Henry Lloyd-Hughes, Kerrie Hayes, Joncie Elmore, Mary Higgins, Sam Keeley, Harry Michell, Philip Hill-Pearson, Daniel Ings, Kate Phillips, Kelly Price, Anthony Andrews, Sylvestra Le Touzel, Sammy Hayman, Lara Peake, John Askew, Michael Nardone, Tim Chipping, Charles Armstrong, Kate Dickie, Richard Dixon, Eilidh Fisher, Richard McCabe, Don Gallagher, Daisy Littlefield, Mary Jo Randle, Ben Ashenden, Natalie Gavin, Richard Attlee, Melanie Gray, Michael Mears, Allison Saxton, Christopher Wright, Tina Louise Owens, John Alan Roberts, Mark Fisher, Stephen Mckay, Colin Thompson, Lewis Clift, Jean-Pascal Heynemand, Stuart D. Latham, Patricia Winker, Adele Lupton","Drama, History, Sport",281,25.0,2020.0,2020-03-20,"Richard Barber, Tony Charles, Tony Charles","Australia:M, Netherlands:16, Singapore:NC16, South Korea:12, United States:TV-14",United Kingdom,English,6.0
Paava Kadhaigal,tv series,13206988,8.1,6435.0,"Prakash Raj, Anjali, Simran, Kalidas Jayaram, Sai Pallavi, Kalki Koechlin, Gautham Vasudev Menon, Shanthnu Bhagyaraj, Adithya Bhaskar, Bhavani Sre, Hari Krishnan, Padam Kumar, Vinodhini Vaidynathan, Jaffer Sadiq, Aangelina Abraham, Tony Sebastian, Sathanya, Jayakumar, Aadhira Pandilakshmi",Drama,36,25.0,2020.0,2020-12-18,"Sudha Kongara, Vignesh Shivan, Vetrimaaran","Australia:MA15+, India:18::(self-applied), Philippines:18+::(self-applied), Singapore:M18, South Korea:18, Spain:16, United Kingdom:18",India,Tamil,4.0
Homemade,tv series,12574336,5.9,743.0,"Kristen Stewart, Peter Sarsgaard, Cate Blanchett, Christopher Abbott, Javier Cámara, Sebastian Schipper, Johnny Ma, Amalia Kassai, Jaime Vadell, Al-Hassan Ly, Kumiko Kaur Chadha Berges, Ferosa Mackenzie, Mitsuki Kawase, Jacinta Terrazas Beristain, Wiley Morrison, Bia Djassi, Mayroun Mouzanar, Olivia Williams, Ana Lily Amirpour, Dylan Meyer, Mercedes Morán, Mona Fastvold, Ronak Singh Chadha Berges, Arthur Mackenzie, Nermeen Shaikh, Joaquim Filipe Dos Santos Costa, Olivia Chernicoff Guala, Cleo Morrison, Jade Lovera, Gurinder Chadha, Sofía Subercaseaux, Delfina Guzmán, Robert Brodie Booth, Luke Mackenzie, Mila Margolis Denti, Magui Oliu, Dominik Lovera, Paul Mayeda Berges, Coca Guazzini, Diego Margolis Denti, Holly Gilchrist, Maria, Ada Fastvold-Corbet, Amely Lovera, Juan Pablo Marchesi, Shlomit Baytelman, Emilio Subercaseaux Campos, Hazel Mall, Ricardo Lovera, Kathryn Howden",Drama,138,10.0,2020.0,2020-06-30,"Juan de Dios Larraín, Pablo Larraín, Lorenzo Mieli","Australia:M, Brazil:14::(self-applied), Canada:TV-MA::(self-applied), France:13::(self-applied), Germany:12::(internet), India:16::(self-applied), Italy:VM14::(self-applied), Japan:R18+::(self-applied), Mexico:TV-MA::(self-applied), Philippines:16+::(self-applied), Singapore:M18, South Korea:12, Spain:13, Turkey:16+::(self-applied), United Kingdom:12, United States:TV-MA::(self-applied)","Chile, Italy","English, Italian, Spanish",17.0
Trailer Park Boys: Out of the Park,tv series,5937754,6.7,2212.0,"John Paul Tremblay, Robb Wells, Mike Smith, Tom Mayhue, Sebastian Bach, Van Ligten, Alex Lifeson, Chris Hadfield, Joel Ware, Johnny Reid, Gary Newman, Michael Worner, Noel Fielding, Tom Green, Tommy Chong, Amber Lynn Johnson, Bill Pangrass, Fatima Mbodj, Charles Burch, Andy Kanies, Michael Fielding, Verne Troyer, Dennis Rodman, Carol Sutton, Alexis Grace, Manuel Cuevas, Kathryn L. Hawes, Kenna Pell, Charles Parks, Graham Nash, Rain Echo Scott, Caitlin Arabis, David Tinsley, Terry Byrd, Rena McCullough, Stephen Stills, Tony Hawk, Elise Berggreen, Nick Gill, Charles Nelson, Angela Perdue, Kirstin Howell, Riley Hawk, Ebonie Moore, Monique McCain, Jordan Ogletree, Ben Raybourn, Maggie Corbett, Matt Shea, Dafne Van der Boon","Adventure, Comedy, Crime, Drama",30,20.0,2016.0,2016-10-28,"Mike Smith, John Paul Tremblay, Robb Wells","Australia:MA15+::(Netflix self-rating), Canada:13+::(Quebec), Singapore:M18, South Korea:18, United Kingdom:15, United States:TV-MA",Canada,English,8.0
Brotherhood,tv series,8905964,7.6,1159.0,"Seu Jorge, Bruce Wexler, Hermila Guedes, Naruna Costa, Lee Taylor, Wesley Guimarães, Danilo Grangheia, Pedro Wagner, Renato de Castro Freitas, Washington Lins, Sol Menezzes, Otavio Linhares, Luiz Bertazzo, Conrado Sardinha, Vanderlei Bernardino, Che Moais, Tavinho Teixeira, Daniel Alves, Fábio Silvestre, Menthor, Everson Anderson, Leonardo Fernandes, Marcel Szymanski, Rodrigo dos Santos, Ma Ry, David William, Natália Lage, Jorge Paz, Bukassa Kabengele, Alexia Cerqueira, Raimundo Moura, Adelino Costa, Nena Inoue, Cássia Damasceno, Tavinho Teixeira, Ricardo Gelli, Elsa Galvão, Lili Siqueira, Francisco Carvalho, Fernando Macário, Hauly, André Garolli, Tomas Barreiros, Mano Cappu, ChaveBeats, Patricia Saravy, Jordan Costa, Marcelo Zorzeto, Renet Lyon, Marcos de Andrade","Crime, Drama, Thriller",50,18.0,2019.0,2019-10-25,"Tom Hamburger, Tom Hamburger, Pedro Morelli","Brazil:18::(self-applied), France:16::(self-applied), India:18::(self-applied), Italy:VM14::(self-applied), Netherlands:16, Philippines:18+::(self-applied), Singapore:M18, Spain:16::(self-applied), Turkey:18+::(self-applied), United Kingdom:18",Brazil,Portuguese,8.0
